HomeTeam,AwayTeam
Man United,Fulham
Ipswich,Liverpool
Arsenal,Wolves
Everton,Brighton
Newcastle,Southampton
Nott'm Forest,Bournemouth
West Ham,Aston Villa
Brentford,Crystal Palace
Chelsea,Man City
Leicester,Tottenham
Brighton,Man United
Crystal Palace,West Ham
Fulham,Leicester
Man City,Ipswich
Southampton,Nott'm Forest
Tottenham,Everton
Aston Villa,Arsenal
Bournemouth,Newcastle
Wolves,Chelsea
Liverpool,Brentford
Arsenal,Brighton
Brentford,Southampton
Everton,Bournemouth
Ipswich,Fulham
Leicester,Aston Villa
Nott'm Forest,Wolves
West Ham,Man City
Chelsea,Crystal Palace
Newcastle,Tottenham
Man United,Liverpool
Southampton,Man United
Brighton,Ipswich
Crystal Palace,Leicester
Fulham,West Ham
Liverpool,Nott'm Forest
Man City,Brentford
Aston Villa,Everton
Bournemouth,Chelsea
Tottenham,Arsenal
Wolves,Newcastle
West Ham,Chelsea
Aston Villa,Wolves
Fulham,Newcastle
Leicester,Everton
Liverpool,Bournemouth
Southampton,Ipswich
Tottenham,Brentford
Crystal Palace,Man United
Brighton,Nott'm Forest
Man City,Arsenal
Newcastle,Man City
Arsenal,Leicester
Brentford,West Ham
Chelsea,Brighton
Everton,Crystal Palace
Nott'm Forest,Fulham
Wolves,Liverpool
Ipswich,Aston Villa
Man United,Tottenham
Bournemouth,Southampton
Crystal Palace,Liverpool
Arsenal,Southampton
Brentford,Wolves
Leicester,Bournemouth
Man City,Fulham
West Ham,Ipswich
Everton,Newcastle
Aston Villa,Man United
Chelsea,Nott'm Forest
Brighton,Tottenham
Tottenham,West Ham
Fulham,Aston Villa
Ipswich,Everton
Man United,Brentford
Newcastle,Brighton
Southampton,Leicester
Bournemouth,Arsenal
Wolves,Man City
Liverpool,Chelsea
Nott'm Forest,Crystal Palace
Leicester,Nott'm Forest
Aston Villa,Bournemouth
Brentford,Ipswich
Brighton,Wolves
Man City,Southampton
Everton,Fulham
Chelsea,Newcastle
Crystal Palace,Tottenham
West Ham,Man United
Arsenal,Liverpool
Newcastle,Arsenal
Bournemouth,Man City
Ipswich,Leicester
Liverpool,Brighton
Nott'm Forest,West Ham
Southampton,Everton
Wolves,Crystal Palace
Tottenham,Aston Villa
Man United,Chelsea
Fulham,Brentford
Brentford,Bournemouth
Crystal Palace,Fulham
West Ham,Everton
Wolves,Southampton
Brighton,Man City
Liverpool,Aston Villa
Man United,Leicester
Nott'm Forest,Newcastle
Tottenham,Ipswich
Chelsea,Arsenal
Leicester,Chelsea
Arsenal,Nott'm Forest
Aston Villa,Crystal Palace
Bournemouth,Brighton
Everton,Brentford
Fulham,Wolves
Man City,Tottenham
Southampton,Liverpool
Ipswich,Man United
Newcastle,West Ham
Brighton,Southampton
Brentford,Leicester
Crystal Palace,Newcastle
Nott'm Forest,Ipswich
Wolves,Bournemouth
West Ham,Arsenal
Chelsea,Aston Villa
Man United,Everton
Tottenham,Fulham
Liverpool,Man City
Ipswich,Crystal Palace
Leicester,West Ham
Everton,Wolves
Man City,Nott'm Forest
Newcastle,Liverpool
Southampton,Chelsea
Arsenal,Man United
Aston Villa,Brentford
Fulham,Brighton
Bournemouth,Tottenham
Aston Villa,Southampton
Brentford,Newcastle
Crystal Palace,Man City
Man United,Nott'm Forest
Fulham,Arsenal
Ipswich,Bournemouth
Leicester,Brighton
Tottenham,Chelsea
West Ham,Wolves
Arsenal,Everton
Liverpool,Fulham
Newcastle,Leicester
Wolves,Ipswich
Nott'm Forest,Aston Villa
Brighton,Crystal Palace
Man City,Man United
Chelsea,Brentford
Southampton,Tottenham
Bournemouth,West Ham
Aston Villa,Man City
Brentford,Nott'm Forest
Ipswich,Newcastle
West Ham,Brighton
Crystal Palace,Arsenal
Everton,Chelsea
Fulham,Southampton
Leicester,Wolves
Man United,Bournemouth
Tottenham,Liverpool
Man City,Everton
Bournemouth,Crystal Palace
Chelsea,Fulham
Newcastle,Aston Villa
Nott'm Forest,Tottenham
Southampton,West Ham
Wolves,Man United
Liverpool,Leicester
Brighton,Brentford
Arsenal,Ipswich
Leicester,Man City
Crystal Palace,Southampton
Everton,Nott'm Forest
Fulham,Bournemouth
Tottenham,Wolves
West Ham,Liverpool
Aston Villa,Brighton
Ipswich,Chelsea
Man United,Newcastle
Brentford,Arsenal
Tottenham,Newcastle
Aston Villa,Leicester
Bournemouth,Everton
Crystal Palace,Chelsea
Man City,West Ham
Southampton,Brentford
Brighton,Arsenal
Fulham,Ipswich
Liverpool,Man United
Wolves,Nott'm Forest
Brentford,Man City
Chelsea,Bournemouth
West Ham,Fulham
Nott'm Forest,Liverpool
Everton,Aston Villa
Leicester,Crystal Palace
Newcastle,Wolves
Arsenal,Tottenham
Ipswich,Brighton
Man United,Southampton
Newcastle,Bournemouth
Brentford,Liverpool
Leicester,Fulham
West Ham,Crystal Palace
Arsenal,Aston Villa
Everton,Tottenham
Man United,Brighton
Nott'm Forest,Southampton
Ipswich,Man City
Chelsea,Wolves
Bournemouth,Nott'm Forest
Brighton,Everton
Liverpool,Ipswich
Southampton,Newcastle
Wolves,Arsenal
Man City,Chelsea
Crystal Palace,Brentford
Tottenham,Leicester
Aston Villa,West Ham
Fulham,Man United
Nott'm Forest,Brighton
Bournemouth,Liverpool
Everton,Leicester
Ipswich,Southampton
Newcastle,Fulham
Wolves,Aston Villa
Brentford,Tottenham
Man United,Crystal Palace
Arsenal,Man City
Chelsea,West Ham
Everton,Liverpool
Brighton,Chelsea
Leicester,Arsenal
Aston Villa,Ipswich
Fulham,Nott'm Forest
Man City,Newcastle
Southampton,Bournemouth
West Ham,Brentford
Crystal Palace,Everton
Liverpool,Wolves
Tottenham,Man United
Aston Villa,Liverpool
Leicester,Brentford
Everton,Man United
Arsenal,West Ham
Bournemouth,Wolves
Fulham,Crystal Palace
Ipswich,Tottenham
Southampton,Brighton
Aston Villa,Chelsea
Newcastle,Nott'm Forest
Man City,Liverpool
Brighton,Bournemouth
Crystal Palace,Aston Villa
Wolves,Fulham
Chelsea,Southampton
Brentford,Everton
Man United,Ipswich
Nott'm Forest,Arsenal
Tottenham,Man City
Liverpool,Newcastle
West Ham,Leicester
Nott'm Forest,Man City
Brighton,Fulham
Crystal Palace,Ipswich
Liverpool,Southampton
Brentford,Aston Villa
Wolves,Everton
Chelsea,Leicester
Tottenham,Bournemouth
Man United,Arsenal
West Ham,Newcastle
Everton,West Ham
Ipswich,Nott'm Forest
Man City,Brighton
Southampton,Wolves
Bournemouth,Brentford
Arsenal,Chelsea
Fulham,Tottenham
Leicester,Man United
Arsenal,Fulham
Wolves,West Ham
Nott'm Forest,Man United
Bournemouth,Ipswich
Brighton,Aston Villa
