HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,B365>2.5,B365<2.5,AHh
Man United,Fulham,1,0,1.53,2.5,-1
Ipswich,Liverpool,0,2,1.4,3,1.5
Arsenal,Wolves,2,0,1.44,2.75,-2
Everton,Brighton,0,3,1.8,2,0
Newcastle,Southampton,1,0,1.4,3,-1.5
Nott'm Forest,Bournemouth,1,1,1.73,2.1,0
West Ham,Aston Villa,1,2,1.57,2.38,-0.25
Brentford,Crystal Palace,2,1,1.8,2,-0.25
Chelsea,Man City,0,2,1.5,2.63,0.5
Leicester,Tottenham,1,1,1.53,2.5,1
Brighton,Man United,2,1,1.57,2.38,0
Crystal Palace,West Ham,0,2,1.73,2.1,-0.25
Fulham,Leicester,2,1,1.89,2.01,-0.75
Man City,Ipswich,4,1,1.3,3.5,-2.75
Southampton,Nott'm Forest,0,1,2.01,1.89,0
Tottenham,Everton,4,0,1.5,2.63,-1.25
Aston Villa,Arsenal,0,2,1.73,2.1,0.75
Bournemouth,Newcastle,1,1,1.57,2.38,0.25
Wolves,Chelsea,2,6,1.62,2.3,0.75
Liverpool,Brentford,2,0,1.36,3.2,-1.75
Arsenal,Brighton,1,1,1.53,2.5,-1.5
Brentford,Southampton,3,1,1.73,2.1,-0.75
Everton,Bournemouth,2,3,1.92,1.98,0
Ipswich,Fulham,1,1,1.84,2.06,0.25
Leicester,Aston Villa,1,2,1.67,2.2,0.75
Nott'm Forest,Wolves,1,1,1.85,2.05,-0.5
West Ham,Man City,1,3,1.44,2.75,1.5
Chelsea,Crystal Palace,1,1,1.5,2.63,-1
Newcastle,Tottenham,2,1,1.36,3.2,0
Man United,Liverpool,0,3,1.44,2.75,0.5
Southampton,Man United,0,3,1.62,2.3,0.75
Brighton,Ipswich,0,0,1.53,2.5,-1.5
Crystal Palace,Leicester,2,2,1.73,2.1,-1
Fulham,West Ham,1,1,1.73,2.1,-0.25
Liverpool,Nott'm Forest,0,1,1.44,2.75,-2
Man City,Brentford,2,1,1.36,3.2,-2
Aston Villa,Everton,3,2,1.67,2.2,-1
Bournemouth,Chelsea,0,1,1.44,2.75,0.5
Tottenham,Arsenal,0,1,1.57,2.38,0.25
Wolves,Newcastle,1,2,1.57,2.38,0.25
West Ham,Chelsea,0,3,1.5,2.63,0.5
Aston Villa,Wolves,3,1,1.57,2.38,-1
Fulham,Newcastle,3,1,1.67,2.2,0.25
Leicester,Everton,1,1,1.87,2.03,0
Liverpool,Bournemouth,3,0,1.36,3.2,-1.75
Southampton,Ipswich,1,1,1.8,2,-0.25
Tottenham,Brentford,3,1,1.44,2.75,-1
Crystal Palace,Man United,0,0,1.57,2.38,0.25
Brighton,Nott'm Forest,2,2,1.86,2.04,-0.75
Man City,Arsenal,2,2,2.04,1.86,-0.75
Newcastle,Man City,1,1,1.5,2.63,1
Arsenal,Leicester,4,2,1.5,2.63,-2
Brentford,West Ham,1,1,1.67,2.2,-0.25
Chelsea,Brighton,4,2,1.5,2.63,-0.75
Everton,Crystal Palace,2,1,1.88,2.02,0
Nott'm Forest,Fulham,0,1,2.02,1.88,-0.25
Wolves,Liverpool,1,2,1.44,2.75,1.5
Ipswich,Aston Villa,2,2,1.73,2.1,0.5
Man United,Tottenham,0,3,1.44,2.75,-0.25
Bournemouth,Southampton,3,1,1.5,2.63,-0.75
Crystal Palace,Liverpool,0,1,1.57,2.38,1
Arsenal,Southampton,3,1,1.36,3.2,-2.25
Brentford,Wolves,5,3,1.73,2.1,-0.25
Leicester,Bournemouth,1,0,1.67,2.2,0.25
Man City,Fulham,3,2,1.44,2.75,-1.75
West Ham,Ipswich,4,1,1.67,2.2,-0.75
Everton,Newcastle,0,0,1.67,2.2,0.25
Aston Villa,Man United,0,0,1.53,2.5,-0.25
Chelsea,Nott'm Forest,1,1,1.57,2.38,-1.25
Brighton,Tottenham,3,2,1.4,3,0.25
Tottenham,West Ham,4,1,1.36,3.2,-1.25
Fulham,Aston Villa,1,3,1.73,2.1,-0.25
Ipswich,Everton,0,2,1.86,2.04,-0.25
Man United,Brentford,2,1,1.5,2.63,-0.75
Newcastle,Brighton,0,1,1.49,2.45,-0.5
Southampton,Leicester,2,3,1.73,2.1,-0.25
Bournemouth,Arsenal,2,0,1.73,2.1,0.75
Wolves,Man City,1,2,1.44,2.75,1.5
Liverpool,Chelsea,2,1,1.4,3,-1
Nott'm Forest,Crystal Palace,1,0,2.1,1.73,-0.25
Leicester,Nott'm Forest,1,3,2,1.8,0.25
Aston Villa,Bournemouth,1,1,1.57,2.38,-0.5
Brentford,Ipswich,4,3,1.67,2.2,-0.75
Brighton,Wolves,2,2,1.57,2.38,-1
Man City,Southampton,1,0,1.29,3.75,-2.5
Everton,Fulham,1,1,1.91,1.99,0
Chelsea,Newcastle,2,1,1.44,2.75,-0.75
Crystal Palace,Tottenham,1,0,1.57,2.38,0.5
West Ham,Man United,2,1,1.53,2.5,0.25
Arsenal,Liverpool,2,2,1.92,1.98,0
Newcastle,Arsenal,1,0,1.84,2.06,0.5
Bournemouth,Man City,2,1,1.57,2.38,1
Ipswich,Leicester,1,1,1.73,2.1,-0.25
Liverpool,Brighton,2,1,1.4,3,-1.5
Nott'm Forest,West Ham,3,0,1.89,2.01,-0.25
Southampton,Everton,1,0,1.84,2.06,0
Wolves,Crystal Palace,2,2,1.9,2,0
Tottenham,Aston Villa,4,1,1.44,2.75,-0.5
Man United,Chelsea,1,1,1.44,2.75,0
Fulham,Brentford,2,1,1.67,2.2,-0.5
Brentford,Bournemouth,3,2,1.62,2.3,0
Crystal Palace,Fulham,0,2,1.95,1.95,0
West Ham,Everton,0,0,1.84,2.06,-0.25
Wolves,Southampton,2,0,1.67,2.2,-0.5
Brighton,Man City,2,1,1.53,2.5,0.75
Liverpool,Aston Villa,2,0,1.44,2.75,-1.25
Man United,Leicester,3,0,1.44,2.75,-1.5
Nott'm Forest,Newcastle,1,3,1.97,1.93,0
Tottenham,Ipswich,1,2,1.3,3.5,-1.75
Chelsea,Arsenal,1,1,1.73,2.1,0
Leicester,Chelsea,1,2,1.5,2.63,1.25
Arsenal,Nott'm Forest,3,0,1.8,2,-1.25
Aston Villa,Crystal Palace,2,2,1.73,2.1,-1
Bournemouth,Brighton,1,2,1.57,2.38,-0.25
