Date,HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,Home_adv_elo,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,Full Time Home Goals,Full Time Away Goals
2004-08-14,Aston Villa,Southampton,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,0
2004-08-14,Blackburn,West Brom,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1
2004-08-14,Bolton,Charlton,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4,1
2004-08-14,Man City,Fulham,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1
2004-08-14,Middlesbrough,Newcastle,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,2
2004-08-14,Norwich,Crystal Palace,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1
2004-08-14,Portsmouth,Birmingham,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1
2004-08-14,Tottenham,Liverpool,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1
2004-08-15,Chelsea,Man United,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0
2004-08-15,Everton,Arsenal,1500.0,1500.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,4
2004-08-21,Man United,Norwich,1493.2411742553218,1499.7848994690178,0.0,1.0,-1.0,0,1,0.0,1.0,0.0,0.0,1.0,7.5,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,2,1
2004-08-21,Southampton,Blackburn,1489.2875146457761,1499.7848994690178,0.0,2.0,-2.0,0,1,0.0,1.0,0.0,0.0,2.0,7.5,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,3,2
2004-08-21,Liverpool,Man City,1500.2151005309822,1499.7848994690178,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,7.5,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,2,1
2004-08-21,Newcastle,Tottenham,1500.2151005309822,1499.7848994690178,2.0,2.0,0.0,0,0,0.0,0.0,0.0,2.0,2.0,7.5,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,0,1
2004-08-21,Crystal Palace,Everton,1500.2151005309822,1485.8859632042943,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,7.5,1.0,4.0,-3.0,0,1,0.0,1.0,0.0,1.0,4.0,0,0,0,0.0,0.0,1,3
2004-08-21,Birmingham,Chelsea,1500.2151005309822,1506.7588257446782,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,7.5,1.0,0.0,1.0,1,0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0,0.0,0,1
2004-08-21,Fulham,Bolton,1500.2151005309822,1513.5176514893567,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,7.5,4.0,1.0,3.0,1,0,1.0,0.0,1.0,4.0,1.0,0,0,0,0.0,0.0,2,0
2004-08-21,Charlton,Portsmouth,1486.4823485106433,1499.7848994690178,1.0,4.0,-3.0,0,1,0.0,1.0,0.0,1.0,4.0,7.5,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,2,1
2004-08-22,Arsenal,Middlesbrough,1514.1140367957057,1499.7848994690178,4.0,1.0,3.0,1,0,1.0,0.0,1.0,4.0,1.0,7.5,2.0,2.0,0.0,0,0,0.0,0.0,0.0,2.0,2.0,0,0,0,0.0,0.0,5,3
2004-08-22,West Brom,Aston Villa,1500.2151005309822,1510.7124853542239,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,7.5,2.0,0.0,2.0,1,0,1.0,0.0,1.0,2.0,0.0,0,0,0,0.0,0.0,1,1
2004-08-24,Birmingham,Man City,1493.2675706139153,1493.0359382698095,1.0,2.0,-1.0,0,1,0.0,1.0,0.0,0.5,1.0,7.5,2.0,3.0,-1.0,0,1,0.0,1.0,0.0,1.0,1.5,0,0,0,0.0,0.0,1,0
2004-08-24,Crystal Palace,Chelsea,1488.6543436802892,1513.7063556617452,2.0,4.0,-2.0,0,1,0.0,1.0,0.0,1.0,2.0,-142.5,2.0,0.0,2.0,2,0,2.0,0.0,1.0,1.0,0.0,0,0,0,0.0,0.0,0,2
2004-08-25,Newcastle,Norwich,1493.1509095164254,1492.8755089674366,2.0,3.0,-1.0,0,1,0.0,1.0,0.0,1.0,1.5,7.5,2.0,3.0,-1.0,0,1,0.0,1.0,0.0,1.0,1.5,0,0,0,0.0,0.0,2,2
2004-08-25,Southampton,Bolton,1496.2692716543656,1502.3774480414868,3.0,4.0,-1.0,1,0,1.0,1.0,0.5,1.5,2.0,157.5,4.0,3.0,1.0,0,1,1.0,1.0,0.5,2.0,1.5,0,0,0,0.0,0.0,1,2
2004-08-25,West Brom,Tottenham,1500.3012526830557,1506.8490904835746,2.0,2.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,-142.5,2.0,1.0,1.0,1,0,1.0,0.0,0.5,1.0,0.5,0,0,0,0.0,0.0,1,1
