HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,Home_adv_elo,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,Elo_diff,Elo_ratio,Goals_likelyhood_H,Goals_likelyhood_A,Home_adv_elo_sum,HomeTeam_code,AwayTeam_code
Man United,Fulham,1541.950054,1561.143628,-22.5,3,6,3,1.2,0.6,4,9,-5,0,3,0,4,0,0.8,1.8,4,8,-4,0,2,1,4,0.2,0.8,1.6,-19.19357428,0.98770544,2.4,2.6,1519.450054,13,8
Ipswich,Liverpool,1453.768898,1775.13597,-52.5,-2,1,6,0.5,3,2,12,-10,0,2,0,4,0,0.4,2.4,11,7,4,0,0,3,1,0.6,2.2,1.4,-321.3670711,0.818961997,1.8,4.6,1401.268898,9,11
Arsenal,Wolves,1746.962161,1523.196733,-22.5,5,12,1,2.4,0.2,10,7,3,0,0,1,1,0.2,2,1.4,8,5,3,0,2,3,2,0.6,1.6,1,223.7654279,1.146905139,3,3,1724.462161,0,19
Everton,Brighton,1573.959804,1595.794221,-22.5,1,8,6,1.6,1.2,6,6,0,1,0,2,2,0.4,1.2,1.2,11,9,2,2,0,3,1,0.6,2.2,1.8,-21.83441682,0.986317524,3,3.4,1551.459804,7,4
Newcastle,Southampton,1657.056402,1365.877665,127.5,5,13,4,2.6,0.8,7,6,1,0,1,2,2,0.4,1.4,1.2,2,8,-6,0,0,0,3,0,0.4,1.6,291.1787379,1.213180686,3,1.6,1784.556402,14,16
Nott'm Forest,Bournemouth,1574.404585,1586.826287,7.5,-2,5,11,1,2.2,7,7,0,1,0,2,1,0.4,1.4,1.4,4,3,1,0,1,2,1,0.4,0.8,0.6,-12.42170146,0.992171984,2,2.2,1581.904585,15,2
West Ham,Aston Villa,1528.585579,1639.14767,-82.5,-2,5,9,1,1.8,7,7,0,1,0,1,2,0.2,1.4,1.4,9,3,6,3,0,4,1,0.8,1.8,0.6,-110.5620914,0.932549035,2,3.2,1446.085579,18,1
Brentford,Crystal Palace,1592.687461,1608.655525,37.5,1,7,7,1.4,1.4,12,6,6,4,0,4,0,0.8,2.4,1.2,9,5,4,2,0,2,0,0.4,1.8,1,-15.96806418,0.990073658,3.4,3,1630.187461,3,6
Chelsea,Man City,1641.33892,1766.258676,67.5,-3,6,11,1.2,2.2,8,6,2,0,1,3,1,0.6,1.6,1.2,8,2,6,1,0,4,0,0.8,1.6,0.4,-124.9197557,0.929274371,2,2.8,1708.83892,5,12
Leicester,Tottenham,1454.032862,1565.549759,67.5,0,10,12,2,2.4,6,8,-2,0,0,1,2,0.2,1.2,1.6,5,14,-9,0,1,0,4,0,1,2.8,-111.5168961,0.92876822,4,2.6,1521.532862,10,17
Brighton,Man United,1595.794221,1541.950054,67.5,3,9,5,1.8,1,10,9,1,1,0,2,1,0.4,2,1.8,5,12,-7,0,2,0,4,0,1,2.4,53.84416661,1.034919527,4.4,2.8,1663.294221,4,13
Crystal Palace,West Ham,1608.655525,1528.585579,37.5,2,12,8,2.4,1.6,5,8,-3,1,0,1,1,0.2,1,1.6,7,7,0,0,1,1,2,0.2,1.4,1.4,80.06994639,1.052381723,2.4,3,1646.155525,6,18
Fulham,Leicester,1561.143628,1454.032862,67.5,3,10,6,2,1.2,7,9,-2,1,0,2,3,0.4,1.4,1.8,6,6,0,1,0,2,2,0.4,1.2,1.2,107.110766,1.073664612,2.6,3,1628.643628,8,10
Man City,Ipswich,1766.258676,1453.768898,127.5,2,10,1,5,0.5,10,3,7,0,0,4,0,0.8,2,0.6,4,12,-8,0,1,0,3,0,0.8,2.4,312.489777,1.214951481,4.4,1.4,1893.758676,12,9
Southampton,Nott'm Forest,1365.877665,1574.404585,-82.5,-4,5,9,1.25,2.25,2,7,-5,0,1,0,3,0,0.4,1.4,5,7,-2,0,0,1,2,0.2,1,1.4,-208.5269208,0.867551884,1.8,2.4,1283.377665,16,15
Tottenham,Everton,1565.549759,1573.959804,-52.5,1,11,7,2.2,1.4,3,12,-9,0,2,0,4,0,0.6,2.4,7,6,1,2,0,2,2,0.4,1.4,1.2,-8.410045372,0.99465676,1.8,3.8,1513.049759,17,7
Aston Villa,Arsenal,1639.14767,1746.962161,97.5,0,7,8,1.4,1.6,10,3,7,2,0,4,1,0.8,2,0.6,10,6,4,1,0,2,1,0.4,2,1.2,-107.8144907,0.938284587,3.2,2.6,1736.64767,1,0
